ISLA	BLOQUEbis	Block	TRAT	Treat	FAITHPD	PERIODO	artropodos	DEPREDADOR	DEPREDADORraiz	DETRITIVORO	DETRITIVOROraiz	HERBIVORO	HERBIVOROraiz	POLINIZADOR	POLINIZADORraiz	SAPROFAGO	SAPROFAGOraiz
Dos	A	A	2021HDP	DA	2031.724	2021	646	461	21.47091055	30	5.477225575	127	11.26942767	6	2.449489743	6	2.449489743
Tres	B	B	2021HDP	DA	2453.128	2021	159	20	4.472135955	1	1	126	11.22497216	1	1	4	2
Cuatro	A	C	2021HDP	DA	2299.74	2021	635	586	24.20743687	6	2.449489743	27	5.196152423	3	1.732050808	0	0
Nueve	A	E	2021HDP	DA	2089.316	2021	116	20	4.472135955	3	1.732050808	75	8.660254038	0	0	0	0
Once	A	D	2021HDP	DA	2189.388	2021	92	31	5.567764363	10	3.16227766	35	5.916079783	5	2.236067977	0	0
Dieciseis	B	F	2021HDP	DA	2169.161	2021	444	358	18.92088793	7	2.645751311	55	7.416198487	3	1.732050808	0	0
Uno	A	A	2021LDP	DB	1348.997	2021	110	46	6.782329983	3	1.732050808	49	7	0	0	0	0
Seis	B	C	2021LDP	DB	1486.002	2021	78	40	6.32455532	1	1	23	4.795831523	5	2.236067977	0	0
Ocho	B	D	2021LDP	DB	1400.942	2021	56	19	4.358898944	2	1.414213562	21	4.582575695	6	2.449489743	3	1.732050808
Diez	A	E	2021LDP	DB	1088.153	2021	76	52	7.211102551	6	2.449489743	13	3.605551275	1	1	1	1
Doce	A	B	2021LDP	DB	1269.826	2021	202	158	12.56980509	6	2.449489743	27	5.196152423	8	2.828427125	0	0
Diecisiete	B	F	2021LDP	DB	1392.298	2021	245	207	14.38749457	5	2.236067977	20	4.472135955	9	3	0	0
Dos	A	A	2019HDP	DA	2385.275	2019	163	38	6.164414003	4	2	62	7.874007874	4	2	0	0
Tres	B	B	2019HDP	DA	2567.466	2019	346	87	9.327379053	9	3	114	10.67707825	27	5.196152423	0	0
Cuatro	A	C	2019HDP	DA	2533.224	2019	235	84	9.16515139	4	2	132	11.48912529	16	4	0	0
Nueve	A	E	2019HDP	DA	2470.394	2019	204	162	12.72792206	27	5.196152423	207	14.38749457	54	7.348469228	16	4
Once	A	D	2019HDP	DA	2366.038	2019	415	308	17.54992877	33	5.744562647	385	19.62141687	66	8.124038405	8	2.828427125
Dieciseis	B	F	2019HDP	DA	2290.814	2019	809	416	20.39607805	64	8	544	23.32380758	96	9.797958971	12	3.464101615
Uno	A	A	2021LDP	DB	1417.08	2019	256	14	3.741657387	0	0	24	4.898979486	3	1.732050808	0	0
Seis	B	C	2021LDP	DB	1519.477	2019	276	150	12.24744871	12	3.464101615	150	12.24744871	48	6.92820323	0	0
Ocho	B	D	2021LDP	DB	1541.395	2019	187	144	12	40	6.32455532	256	16	120	10.95445115	0	0
Diez	A	E	2021LDP	DB	1147.899	2019	222	170	13.03840481	10	3.16227766	220	14.83239697	70	8.366600265	0	0
Doce	A	B	2021LDP	DB	1348.997	2019	251	264	16.24807681	48	6.92820323	288	16.97056275	60	7.745966692	0	0
Diecisiete	B	F	2021LDP	DB	1425.774	2019	406	425	20.61552813	51	7.141428429	833	28.86173938	51	7.141428429	0	0
