HDP2019	LPD2019	HDP2021	LPD2021
28	23	27	0
25	2	0	0
0	0	1	0
0	0	3	0
0	0	8	13
0	0	0	1
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	0
0	0	3	2
0	0	1	0
1	2	0	0
0	0	2	0
0	0	1	0
0	0	3	2
0	0	2	0
0	0	0	4
0	0	0	1
0	0	0	6
0	0	0	4
0	0	0	1
0	0	0	1
228	14	0	0
9	1	0	0
1	0	0	0
0	0	7	1
0	0	0	1
0	0	1	0
1	0	0	0
0	0	0	1
4	1	1	0
0	0	2	0
0	1	0	0
1	0	0	0
0	0	1	0
7	26	3	0
1	17	1	0
0	1	0	0
6	3	0	0
1	0	0	0
0	0	1	1
1	0	0	0
3	0	0	0
3	3	10	0
0	0	1	0
2	1	0	0
11	0	0	0
0	0	0	1
0	0	2	0
0	1	0	1
0	4	0	0
0	0	1	0
0	0	1	0
4	0	1	0
1	0	0	2
0	0	0	1
4	4	0	0
6	0	1	0
1	0	0	0
1	0	0	2
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
2	0	1	0
2	0	1	0
4	4	1	1
1	0	0	0
1	0	0	0
1	0	0	2
2	0	1	0
1	0	2	0
1	0	0	0
2	0	0	1
0	2	0	0
0	3	0	0
0	5	0	0
0	3	0	0
0	1	0	0
0	1	0	1
0	3	0	0
0	0	9	1
0	0	3	0
0	0	1	0
0	0	1	0
0	0	1	0
1	0	0	0
0	0	1	0
0	0	2	0
0	0	0	1
0	0	1	0
0	0	1	2
0	1	0	0
4	1	0	3
2	3	1	0
0	0	1	0
2	3	4	1
55	32	0	0
1	3	4	0
8	3	0	0
19	21	0	0
1	1	0	0
5	1	0	0
7	2	0	0
13	15	1	0
17	29	1	0
1	0	0	0
3	0	3	0
1	0	0	0
12	0	20	4
55	49	0	3
1	0	0	0
1	0	0	0
7	0	0	0
1	0	0	0
1	0	0	0
4	0	0	0
2	0	0	0
2	0	0	0
1	0	0	0
2	0	1	1
2	0	0	0
2	0	0	1
1	0	1	0
1	3	0	0
1	0	0	0
1	0	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	2	0	0
0	0	1	0
0	1	0	0
0	1	0	0
0	3	0	0
0	1	0	0
0	1	0	0
0	5	0	0
0	4	0	0
0	1	0	0
0	1	0	0
11	7	0	0
0	1	0	0
0	5	0	0
0	1	0	0
0	1	0	0
0	2	3	0
0	3	0	0
0	2	0	0
0	1	0	0
0	1	0	0
0	6	0	0
1	0	0	0
0	4	0	0
0	10	0	0
0	0	1	0
0	0	3	0
0	0	1	0
0	0	2	0
0	0	1	0
0	0	0	1
0	0	0	1
0	0	0	3
0	0	0	1
0	0	0	1
0	0	1	0
0	0	0	1
1	1	0	0
0	0	6	9
71	18	10	4
5	0	0	0
0	0	0	1
0	0	4	0
0	0	8	0
1	0	0	0
14	6	0	0
0	0	2	0
3	0	0	0
2	0	0	0
1	0	0	0
1	0	0	0
4	0	1	0
1	0	0	0
55	10	0	0
1	0	0	0
1	2	0	0
1	3	3	1
6	0	0	0
30	5	0	0
20	68	1	1
8	2	0	0
2	1	0	0
2	0	0	0
1	0	0	1
1	0	0	0
5	1	0	0
1	0	0	0
6	6	0	0
1	0	0	0
12	0	0	0
1	0	0	0
0	1	0	0
0	3	1	0
0	4	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	16	0	4
0	1	0	0
0	0	1	0
0	0	1	0
0	0	5	0
0	0	2	1
0	0	1	1
0	0	5	3
0	0	1	0
0	0	1	0
8	13	5	12
0	0	2	0
0	0	9	0
0	0	1	0
0	0	1	0
0	0	1	2
0	0	0	1
0	0	1	0
0	0	1	0
0	0	0	3
16	0	5	0
1	2	0	0
179	0	61	0
10	17	2	1
0	0	1	0
1	0	0	0
10	2	2	1
4	0	0	0
1	0	288	1
1	0	0	2
40	59	2	4
0	11	0	2
0	2	0	0
0	19	0	1
0	0	3	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	1
0	0	1	2
0	0	0	1
0	0	1	1
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	0
16	43	4	0
24	1	802	384
19	61	178	49
13	15	1	5
0	1	0	0
0	0	9	2
109	117	0	0
1	2	0	0
0	0	1	0
0	0	1	0
0	0	2	1
0	0	1	0
0	0	2	0
0	0	1	0
0	0	2	3
0	0	1	0
0	0	1	0
0	0	1	4
0	6	0	0
0	0	1	2
0	0	1	0
0	0	1	0
0	0	0	1
0	0	0	2
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	3
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	3	1
7	5	1	0
1	8	0	0
0	1	0	0
1	1	1	0
3	6	1	0
1	0	0	0
3	0	0	0
20	5	0	0
1	0	0	0
71	58	7	15
4	0	0	1
4	5	0	0
1	0	0	0
1	3	0	0
1	1	0	0
7	0	0	0
0	32	0	0
9	6	0	0
2	0	0	0
1	0	0	0
5	9	0	1
9	0	2	0
1	0	0	0
3	1	0	0
2	8	0	0
1	1	0	0
3	1	0	0
0	2	1	0
1	0	0	0
15	0	0	0
3	0	1	0
1	0	0	0
1	21	0	0
9	0	0	0
1	2	0	0
1	0	0	20
1	0	1	0
1	0	0	0
10	0	0	0
1	0	0	0
6	0	0	0
1	0	0	0
1	1	0	0
1	0	0	0
2	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
0	2	0	0
0	1	0	0
0	2	0	0
0	3	0	0
0	1	0	0
0	5	0	0
0	2	0	0
0	15	1	0
0	2	0	0
0	1	0	0
0	1	0	0
0	1	0	0
65	3	0	0
0	4	0	0
0	1	0	0
0	2	0	0
0	1	0	0
0	0	1	0
0	0	164	15
0	0	2	0
0	0	50	0
2	7	0	0
0	0	1	1
0	0	2	0
0	0	2	2
0	0	1	0
0	0	2	0
0	0	2	0
0	0	19	0
0	0	1	0
3	9	2	0
2	8	0	0
1	0	0	0
