HPD19	LPD19	HPD21	LPD21
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	0
0	0	3	2
0	0	1	0
1	2	0	0
0	0	2	0
0	0	1	0
0	0	3	2
0	0	2	0
0	0	0	4
0	0	0	1
0	0	0	6
0	0	0	4
0	0	0	1
0	0	0	1
228	14	0	0
9	1	0	0
1	0	0	0
0	0	7	1
0	0	0	1
0	0	1	0
1	0	0	0
0	0	0	1
4	1	1	0
0	0	2	0
0	1	0	0
1	0	0	0
0	0	1	0
7	26	3	0
1	17	1	0
0	1	0	0
6	3	0	0
1	0	0	0
0	0	1	1
1	0	0	0
3	0	0	0
3	3	10	0
0	0	1	0
2	1	0	0
11	0	0	0
0	0	0	1
0	0	2	0
0	1	0	1
0	4	0	0
0	0	1	0
0	0	1	0
4	0	1	0
1	0	0	2
0	0	0	1
4	4	0	0
6	0	1	0
1	0	0	0
1	0	0	2
1	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
2	0	1	0
2	0	1	0
4	4	1	1
1	0	0	0
1	0	0	0
1	0	0	2
2	0	1	0
1	0	2	0
1	0	0	0
2	0	0	1
0	2	0	0
0	3	0	0
0	5	0	0
0	3	0	0
0	1	0	0
0	1	0	1
0	3	0	0
0	0	9	1
0	0	3	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
1	1	0	0
55	49	0	3
1	0	0	0
0	1	0	0
0	4	0	0
7	0	0	0
0	1	0	0
0	0	0	1
4	0	0	0
9	0	0	0
0	12	0	0
0	1	0	0
8	13	5	12
179	0	61	0
10	17	2	1
0	0	1	0
1	0	0	0
10	2	2	1
4	0	0	0
1	0	288	1
1	0	0	2
40	59	2	4
0	11	0	2
0	2	0	0
0	19	0	1
0	0	3	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	1
0	0	1	2
0	0	0	1
0	0	1	1
0	0	1	0
0	0	1	0
0	0	1	0
0	0	2	0
16	43	4	0
24	1	802	384
19	61	178	49
13	15	1	5
0	1	0	0
0	0	9	2
0	0	1	0
1	1	1	0
1	0	0	0
1	0	1	0
1	0	0	0
0	1	0	0
0	5	0	0
0	1	0	0
0	4	0	0
0	0	2	0
3	6	2	0
1	0	0	0
1	0	0	0
2	0	0	2
1	0	0	0
1	0	0	0
1	0	0	0
2	0	0	0
1	0	0	0
2	0	1	0
1	0	0	0
1	0	0	0
1	0	0	0
4	4	0	1
2	1	0	0
1	0	0	0
1	0	0	0
1	0	1	0
1	0	0	0
1	0	0	0
0	1	0	0
0	4	0	1
0	1	0	0
0	2	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	2	0	0
0	2	0	0
1	0	1	0
0	1	0	0
0	2	0	0
0	1	0	0
0	4	2	0
0	1	0	0
0	0	1	1
0	0	1	0
4	0	0	0
0	0	4	0
0	0	2	0
0	0	1	0
0	0	1	1
0	0	1	0
1	0	1	0
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	1	0
2	0	0	0
0	18	0	0
0	2	0	0
3	4	0	0
0	1	0	0
0	0	1	0
2	0	0	0
2	0	0	0
0	0	0	1
0	3	1	0
12	11	0	0
