HPD19	LPD19	HPD21	LPD21
0	0	1	2
0	1	0	0
4	1	0	3
2	0	1	0
0	0	1	0
2	3	4	1
55	32	0	0
8	3	0	0
19	21	0	0
5	1	0	0
7	2	0	0
13	15	1	0
17	29	1	0
1	0	0	0
3	0	3	0
1	0	0	0
1	0	0	0
1	0	0	0
7	0	0	0
1	0	0	0
1	0	0	0
4	0	0	0
2	0	0	0
2	0	0	0
1	0	0	0
2	0	1	1
2	0	0	0
2	0	0	1
1	0	1	0
1	3	0	0
1	0	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	2	0	0
0	0	1	0
0	1	0	0
0	3	0	0
0	1	0	0
0	5	0	0
0	1	0	0
4	6	0	0
0	5	0	0
0	1	0	0
0	2	3	0
0	2	0	0
0	1	0	0
0	6	0	0
0	4	0	0
0	10	0	0
0	0	1	0
0	0	1	0
0	0	0	1
0	0	0	1
0	0	0	1
2	0	0	0
109	117	0	0
1	2	0	0
0	0	1	0
0	0	2	1
0	0	1	0
0	0	2	0
0	0	1	0
0	0	2	3
0	0	1	0
0	0	1	0
0	6	0	0
0	0	1	2
0	0	1	0
0	0	1	0
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	3
0	0	0	1
0	0	0	1
0	0	0	1
0	0	0	1
0	0	3	1
7	5	1	0
1	8	0	0
0	1	0	0
3	6	1	0
1	0	0	0
3	0	0	0
20	5	0	0
1	0	0	0
71	58	7	15
4	0	0	1
4	5	0	0
1	3	0	0
1	1	0	0
7	0	0	0
0	32	0	0
9	6	0	0
2	0	0	0
1	0	0	0
5	9	0	1
9	0	2	0
3	1	0	0
2	8	0	0
1	1	0	0
3	1	0	0
0	2	1	0
1	0	0	0
15	0	0	0
3	0	1	0
1	0	0	0
1	0	0	0
9	0	0	0
1	2	0	0
1	0	0	20
10	0	0	0
1	0	0	0
6	0	0	0
1	0	0	0
1	1	0	0
1	0	0	0
2	0	0	0
1	0	0	0
1	0	0	0
1	0	0	0
0	1	0	0
0	2	0	0
0	3	0	0
0	1	0	0
0	15	1	0
0	2	0	0
0	1	0	0
0	1	0	0
0	1	0	0
65	3	0	0
0	1	0	0
0	0	1	0
0	0	164	15
0	0	2	0
0	0	50	0
2	7	0	0
0	0	1	1
0	0	2	2
0	0	1	0
0	0	2	0
0	0	2	0
0	0	19	0
0	0	1	0
1	0	0	0
1	0	0	0
1	0	0	0
0	1	0	0
0	20	1	0
0	1	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	0	1	0
0	0	1	0
0	0	2	0
0	0	2	0
33	0	0	0
1	0	0	0
1	0	0	0
2	0	0	0
165	97	25	14
12	15	0	0
0	1	0	0
2	1	1	0
1	0	0	0
8	0	0	0
6	15	1	0
1	0	0	1
3	0	1	0
1	0	0	0
1	0	0	1
1	0	0	0
0	2	0	0
0	3	0	0
0	1	0	0
0	1	0	0
0	1	0	0
0	0	2	0
0	0	1	0
0	0	1	2
1	0	0	0
0	0	1	0
0	0	31	25
0	0	12	0
0	0	11	0
0	0	4	4
0	0	16	0
0	0	1	0
0	0	1	0
0	0	10	0
0	0	1	1
0	0	1	0
0	0	8	10
0	0	5	2
0	0	6	0
0	0	1	1
0	0	0	1
0	0	0	2
0	0	0	1
0	0	0	1
70	5	0	3
89	147	0	0
6	3	0	0
0	3	0	0
0	0	1	0
0	8	0	0
