Aidemona.alticola,Asphaera.nobilitata,Conocephalus.ictus,Culex.nigripalpus,Cyrtoneurina.alifusca,Cyrtoneuropsis.pararescita,Drosophila.bromeliae,Drosophila.equinoxialis,Drosophila.parabipectinata,Eunemobius.carolinus,Euschistus.quadrator,Fountainea.eurypyle,Gryllus.pennsylvanicus,Gryllus.veletis,Haematobia.irritans,Incertella.incerta,Lasioderma.serricorne,Leucauge.argyra,Memphis.pithyusa,Micrathena.sagittata,Miogryllus.saussurei,Mormidea.quinqueluteum,Neonemobius.cubensis,Neopamera.bilobata,Odontomachus.laticeps,Oxysarcodexia.thornax,Oxysarcodexia.ventricosa,Pardosa.distincta,Polistes.biguttatus,Polistes.instabilis,Ravinia.lherminieri,Ravinia.stimulans,Schistocerca.impleta,Schistocerca.obscura,Scudderia.furcata,Teleonemia.scrupulosa,Umbonia.crassicornis,Zaprionus.indianus,Adelpha.sp,Agelaia.pallipes,Amblyomma.cajennense,Amphelasma.nigrolineatum,Anaxipha.exigua,Anaxipha.tinnulenta,Apis.mellifera,Argiope.blanda,Ascalapha.odorata,Blaesoxipha.arizona,Calliphora.vomitoria,Calycomyza.hyptidis,Ceraticelus.emertoni,Clubiona,Cochliomyia.macellaria,Conga.chydaea,Culex.taeniopus,Cymaenes.odilia,Cyrtoneurina.geminata,Draeculacephala.navicula,Draeculacephala.noveboracensis,Draeculacephala.soluta,Drosophila.melanogaster,Drosophila.pseudoananassae,Dysdercus.evanescens,Everes.sp,Evergestis.caesialis,Grammonota.gentilis,Habronattusborealis,Hamadryas.ferentina,Heterotermes.vagus,Hibana.gracilis,Hortensia.similis,Latrodectus.mactans,Leucophenga.meijerei,Leucophenga.quadripunctata,Lobiopa.falli,Lucilia.coeruleiviridis,Melitoma.segmentaria,Micrutalis.calva,Morellia.nigricosta,Nallachius.americanus,Neobellieria.polistensis,Neoconocephalus.robustus,Neosconas.arabesca,Neurocolpus.nubilus,Notozulia.entreriana,Ochlerotatus.angustivittatus,Ochlerotatus.taeniorhynchus,Oebalus.ypsilongriseus,Oncometopia.nigricans,Oncopeltus.fasciatus,Ophiomyia.lantanae,Opsiphanes.cassina,Opsiphanes.tamarindi,Orchelimum.gladiator,Oxysarcodexia.cingarus,Palaeosepsis.pusio,Paradelia.arctica,Peckia.chrysostoma,Perilampus.tristis,Philoponella.prominens,Pissonotus.rubrilatus,Polietina.orbitalis,Prosapia.bicincta,Pseudatomoscelis.seriatus,Psorophora.longipalpus,Ravinia.querula,Schistocerca.americana,Schistocerca.literosa,Schistocerca.melanocera,Schistocerca.pallens,Schistocerca.piceifrons,Sinea.diadema,Spangbergiella.viridis,Spilogona.denudata,Spodoptera.latifascia,Stegasta.variana,Synthesiomyia.nudiseta,Theridion.differens,Toxomerus.bistrigus,Tricharaea.brevicornis,Tylozygus.fasciatus,Unclassified1,Unclassified10,Unclassified11,Unclassified12,Unclassified13,Unclassified14,Unclassified15,Unclassified16,Unclassified17,Unclassified18,Unclassified19,Unclassified2,Unclassified20,Unclassified21,Unclassified22,Unclassified23,Unclassified24,Unclassified25,Unclassified26,Unclassified27,Unclassified28,Unclassified29,Unclassified3,Unclassified30,Unclassified31,Unclassified32,Unclassified4,Unclassified5,Unclassified6,Unclassified7,Unclassified8,Unclassified9,Urania.leilia,Urbanus.dorantes,Xestocephalus.desertorum,Xyonysius.californicus,Zaphne.divisa,Zaprionus.africanus,Zygoballusrufipes,Ceratinops.crenatus,Rabidosa.rabida,Schizocosa.maxima,Dolomedes.sulfureus,Theridula.opulenta,Unclassified,Alagoasa.lineola,Photuris.tremulans,Stelidota.geminata,Melanagromyza.virens,Chrysomya.rufifacies,Unclassified.1,Unclassified.2,Unclassified.3,Drosophila.nebulosa,Hirtodrosophila.sp,Leucophenga.varia,Unclassified.4,Unclassified.5,Ravinia.pernix,Toxomerus.floralis,Chrysops.aff.montanus,Deltocephalus.sp,Pseudopachybrachius.basalis,Unclassified.6,Pachycondyla.sp,Unclassified.7,Polybia.belemensis,Spilomelinae.gen,Lesmone.formularis,Virbia.ferruginosa,Celiptera.sp,Anartia.fatima,Consul.fabius,Hamadryas.arinome,Hermeuptychia.sp,Unclassified.8,Argia.oculata,Schistocerca.ceratiola,Schistocerca.flavofasciata,Neoconocephalus.sp
1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
